text,intent,sentiment,country,product_group,plan,customer_type,priority,amount_billed,satisfaction_score
How much does ZENDStorage 1TB cost in my country?,Information Query,Satisfied,Singapore,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Enterprise,94.59,4
Need help fixing my ZENDBiz Connect 1G service.,Technical Support,Satisfied,USA,Business Connectivity,ZENDBiz Connect 1G,Individual,Standard,77.04,4
What are the costs to move from ZENDIndustrial Sensor to premium?,Plan Upgrade,Angry,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Standard,127.63,1
Can I upgrade from ZENDStorage 10TB to a higher plan?,Plan Upgrade,Angry,Singapore,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Enterprise,283.03,1
How do I stop ZENDSmart Lighting service?,Cancellation,Neutral,India,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Standard,237.21,3
What are the costs to move from ZENDStorage 10TB to premium?,Plan Upgrade,Satisfied,Singapore,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Standard,97.27,4
I am not happy with my ZENDCloud VM Enterprise service.,Complaint,Angry,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Priority,292.03,1
Frustrated with ZENDFiber Home 300 Mbps connection.,Complaint,Angry,Singapore,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Standard,162.88,1
Please terminate my ZENDCloud VM Basic plan.,Cancellation,Angry,India,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Enterprise,133.35,1
What are the costs to move from ZENDArchive Storage to premium?,Plan Upgrade,Happy,India,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Priority,98.98,5
Can I upgrade from Postpaid Silver 50GB to a higher plan?,Plan Upgrade,Angry,India,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Priority,29.8,1
Can I upgrade from ZENDStorage 10TB to a higher plan?,Plan Upgrade,Happy,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Enterprise,47.17,5
I want a refund for ZENDFiber Home 300 Mbps subscription.,Refund,Angry,Thailand,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Standard,188.52,1
Frustrated with Postpaid Gold 100GB connection.,Complaint,Satisfied,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Individual,Standard,60.68,4
I want a refund for Postpaid Platinum Unlimited subscription.,Refund,Angry,India,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Standard,85.04,1
I want a refund for ZENDEnterprise Ultra subscription.,Refund,Satisfied,Singapore,Business Connectivity,ZENDEnterprise Ultra,Individual,Standard,71.37,4
Frustrated with ZENDSmart Parking connection.,Complaint,Satisfied,India,IoT & Smart Solutions,ZENDSmart Parking,Individual,Standard,398.23,4
Please terminate my ZENDFiber Home 100 Mbps plan.,Cancellation,Happy,India,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Priority,58.54,5
How do I claim a refund if I used less than 10% of ZENDFiber Home 100 Mbps?,Refund,Neutral,Thailand,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Priority,56.69,3
My Prepaid Plus 20GB is not working properly.,Technical Support,Happy,India,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Enterprise,49.41,5
Complaint regarding Prepaid Basic 5GB.,Complaint,Happy,Singapore,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Priority,39.1,5
How do I claim a refund if I used less than 10% of Postpaid Gold 100GB?,Refund,Angry,USA,Mobile Connectivity,Postpaid Gold 100GB,Individual,Priority,123.27,1
Need help fixing my ZENDArchive Storage service.,Technical Support,Satisfied,Singapore,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Priority,64.47,4
What are the costs to move from ZENDBiz Connect 500 to premium?,Plan Upgrade,Angry,Thailand,Business Connectivity,ZENDBiz Connect 500,Enterprise,Priority,285.76,1
How do I stop ZENDCloud VM Pro service?,Cancellation,Satisfied,USA,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Priority,132.21,4
Requesting refund for ZENDBiz Connect 500.,Refund,Angry,Thailand,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,453.99,1
Need help fixing my ZENDStorage 1TB service.,Technical Support,Neutral,Singapore,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Enterprise,298.8,3
I want a refund for ZENDBiz Connect 1G subscription.,Refund,Neutral,USA,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,361.18,3
I am facing issues with ZENDCloud VM Enterprise.,Technical Support,Happy,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Standard,182.25,5
I am facing issues with ZENDStorage 1TB.,Technical Support,Happy,Singapore,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Priority,235.5,5
What features does ZENDSmart Traffic offer?,Information Query,Neutral,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Priority,234.53,3
I am not happy with my ZENDIndustrial Sensor service.,Complaint,Happy,USA,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Standard,264.43,5
I want a refund for ZENDStorage 10TB subscription.,Refund,Neutral,USA,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Standard,154.68,3
Need help fixing my Postpaid Platinum Unlimited service.,Technical Support,Satisfied,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Enterprise,99.85,4
I am facing issues with Prepaid Unlimited.,Technical Support,Angry,USA,Mobile Connectivity,Prepaid Unlimited,Enterprise,Priority,34.04,1
I was charged $X instead of $Y for Prepaid Basic 5GB.,Billing,Happy,USA,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Standard,73.51,5
Complaint regarding Postpaid Platinum Unlimited.,Complaint,Satisfied,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Enterprise,58.45,4
Complaint regarding Prepaid Unlimited.,Complaint,Satisfied,Thailand,Mobile Connectivity,Prepaid Unlimited,Enterprise,Enterprise,22.78,4
Can you send me my last 2 invoices for ZENDEnterprise Dedicated?,Billing,Satisfied,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,299.14,4
I was charged $X instead of $Y for ZENDBiz Connect 1G.,Billing,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Enterprise,70.85,3
I want to cancel my ZENDCloud VM Pro subscription.,Cancellation,Neutral,India,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Priority,65.29,3
How do I stop ZENDBiz Connect 100 service?,Cancellation,Happy,USA,Business Connectivity,ZENDBiz Connect 100,Enterprise,Priority,73.36,5
How do I claim a refund if I used less than 10% of ZENDCloud VM Pro?,Refund,Happy,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Priority,115.33,5
I want to cancel my ZENDSmart Parking subscription.,Cancellation,Angry,Thailand,IoT & Smart Solutions,ZENDSmart Parking,Individual,Enterprise,217.22,1
What features does ZENDIndustrial Sensor offer?,Information Query,Satisfied,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Priority,269.39,4
How much does ZENDIndustrial Sensor cost in my country?,Information Query,Neutral,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Enterprise,334.61,3
Need details about ZENDOffice Net 200.,Information Query,Happy,Singapore,Home & Office Internet,ZENDOffice Net 200,Enterprise,Standard,188.24,5
Complaint regarding ZENDEnterprise Dedicated.,Complaint,Angry,USA,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,85.43,1
How do I stop Prepaid Unlimited service?,Cancellation,Angry,USA,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,96.73,1
I want to upgrade my Prepaid Basic 5GB plan.,Plan Upgrade,Happy,Thailand,Mobile Connectivity,Prepaid Basic 5GB,Individual,Standard,73.21,5
Can you send me my last 2 invoices for ZENDSmart Traffic?,Billing,Satisfied,India,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Standard,352.51,4
How do I claim a refund if I used less than 10% of ZENDCloud VM Enterprise?,Refund,Satisfied,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,289.63,4
Frustrated with ZENDIndustrial Sensor connection.,Complaint,Angry,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Enterprise,378.8,1
How do I stop ZENDOffice Net 200 service?,Cancellation,Satisfied,Singapore,Home & Office Internet,ZENDOffice Net 200,Enterprise,Standard,156.56,4
I want a refund for ZENDSmart Traffic subscription.,Refund,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Enterprise,247.04,1
What features does Postpaid Silver 50GB offer?,Information Query,Neutral,Thailand,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Standard,88.01,3
I want to cancel my ZENDOffice Net 500 subscription.,Cancellation,Satisfied,Singapore,Home & Office Internet,ZENDOffice Net 500,Individual,Priority,20.77,4
I was charged $X instead of $Y for ZENDFleet IoT.,Billing,Neutral,Thailand,IoT & Smart Solutions,ZENDFleet IoT,Individual,Priority,307.1,3
Complaint regarding ZENDSmart Lighting.,Complaint,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,318.55,1
What are the costs to move from ZENDFiber Home 300 Mbps to premium?,Plan Upgrade,Happy,India,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Priority,106.33,5
My ZENDIndustrial Sensor is not working properly.,Technical Support,Angry,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Priority,276.32,1
I am facing issues with ZENDFleet IoT.,Technical Support,Angry,India,IoT & Smart Solutions,ZENDFleet IoT,Individual,Enterprise,160.55,1
What features does ZENDFiber Home 100 Mbps offer?,Information Query,Happy,India,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Priority,51.02,5
How do I stop Postpaid Platinum Unlimited service?,Cancellation,Neutral,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Enterprise,102.2,3
How do I stop ZENDOffice Net 200 service?,Cancellation,Angry,USA,Home & Office Internet,ZENDOffice Net 200,Individual,Priority,137.27,1
I was charged $X instead of $Y for ZENDCloud VM Enterprise.,Billing,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Priority,239.08,1
My ZENDFleet IoT is not working properly.,Technical Support,Satisfied,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Standard,201.41,4
Please terminate my ZENDSmart Lighting plan.,Cancellation,Happy,USA,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,160.58,5
Need details about ZENDOffice Net 200.,Information Query,Satisfied,Singapore,Home & Office Internet,ZENDOffice Net 200,Individual,Priority,141.65,4
What are the costs to move from ZENDFiber Home 300 Mbps to premium?,Plan Upgrade,Satisfied,USA,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Standard,108.87,4
I want to cancel my ZENDSmart Parking subscription.,Cancellation,Satisfied,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Standard,90.48,4
Please terminate my ZENDSmart Lighting plan.,Cancellation,Happy,Singapore,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Priority,109.62,5
I want a refund for ZENDEnterprise Dedicated subscription.,Refund,Happy,India,Business Connectivity,ZENDEnterprise Dedicated,Individual,Standard,279.1,5
I am facing issues with ZENDOffice Net 200.,Technical Support,Neutral,Thailand,Home & Office Internet,ZENDOffice Net 200,Enterprise,Enterprise,146.73,3
Requesting refund for Postpaid Silver 50GB.,Refund,Neutral,Thailand,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Priority,139.53,3
I want a refund for ZENDSmart Parking subscription.,Refund,Neutral,India,IoT & Smart Solutions,ZENDSmart Parking,Individual,Enterprise,116.33,3
Can I upgrade from Postpaid Platinum Unlimited to a higher plan?,Plan Upgrade,Happy,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Enterprise,58.44,5
Requesting refund for ZENDFiber Home 300 Mbps.,Refund,Neutral,Thailand,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Enterprise,135.31,3
I want to upgrade my Prepaid Basic 5GB plan.,Plan Upgrade,Neutral,Thailand,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Standard,29.06,3
How much does ZENDCloud VM Pro cost in my country?,Information Query,Happy,India,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Priority,92.11,5
I want to upgrade my ZENDBiz Connect 1G plan.,Plan Upgrade,Satisfied,India,Business Connectivity,ZENDBiz Connect 1G,Individual,Standard,110.02,4
Can you send me my last 2 invoices for ZENDSmart Traffic?,Billing,Satisfied,India,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Standard,259.57,4
What features does ZENDSmart Parking offer?,Information Query,Happy,USA,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Standard,207.69,5
I want to upgrade my ZENDSmart Traffic plan.,Plan Upgrade,Satisfied,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Priority,182.09,4
Complaint regarding ZENDFiber Home 300 Mbps.,Complaint,Happy,India,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Enterprise,54.58,5
Please terminate my ZENDEnterprise Ultra plan.,Cancellation,Angry,Singapore,Business Connectivity,ZENDEnterprise Ultra,Individual,Standard,393.12,1
My ZENDEnterprise Ultra is not working properly.,Technical Support,Satisfied,Singapore,Business Connectivity,ZENDEnterprise Ultra,Individual,Priority,288.74,4
I want a refund for ZENDCloud VM Basic subscription.,Refund,Satisfied,India,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Priority,244.18,4
How do I claim a refund if I used less than 10% of ZENDCloud VM Enterprise?,Refund,Neutral,USA,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Enterprise,60.29,3
Please terminate my ZENDIndustrial Sensor plan.,Cancellation,Satisfied,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,398.7,4
How much does ZENDIndustrial Sensor cost in my country?,Information Query,Neutral,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Priority,286.29,3
I want to upgrade my ZENDCloud VM Basic plan.,Plan Upgrade,Happy,India,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Priority,294.87,5
I am not happy with my ZENDArchive Storage service.,Complaint,Neutral,USA,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Priority,191.2,3
My billing amount for ZENDFiber Home 100 Mbps seems incorrect.,Billing,Satisfied,Thailand,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Priority,138.02,4
Frustrated with ZENDArchive Storage connection.,Complaint,Happy,USA,Cloud & Data Center Services,ZENDArchive Storage,Individual,Enterprise,49.02,5
I am facing issues with ZENDCloud VM Pro.,Technical Support,Neutral,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Enterprise,242.34,3
Complaint regarding ZENDBiz Connect 100.,Complaint,Happy,India,Business Connectivity,ZENDBiz Connect 100,Enterprise,Priority,109.24,5
Complaint regarding ZENDIndustrial Sensor.,Complaint,Satisfied,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Priority,296.81,4
I want to upgrade my ZENDEnterprise Dedicated plan.,Plan Upgrade,Neutral,India,Business Connectivity,ZENDEnterprise Dedicated,Individual,Priority,238.51,3
My billing amount for ZENDEnterprise Ultra seems incorrect.,Billing,Happy,Singapore,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,100.05,5
I want to cancel my ZENDOffice Net 200 subscription.,Cancellation,Angry,USA,Home & Office Internet,ZENDOffice Net 200,Enterprise,Standard,63.66,1
How much does ZENDIndustrial Sensor cost in my country?,Information Query,Neutral,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Priority,80.2,3
What features does ZENDFiber Home 300 Mbps offer?,Information Query,Angry,Thailand,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Priority,58.37,1
Need help fixing my Postpaid Platinum Unlimited service.,Technical Support,Satisfied,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Standard,98.97,4
Frustrated with ZENDCloud VM Pro connection.,Complaint,Neutral,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Enterprise,108.71,3
How much does ZENDCloud VM Pro cost in my country?,Information Query,Satisfied,USA,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Enterprise,193.81,4
How do I claim a refund if I used less than 10% of ZENDCloud VM Basic?,Refund,Happy,India,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Priority,42.63,5
Can I upgrade from ZENDBiz Connect 500 to a higher plan?,Plan Upgrade,Angry,Thailand,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,272.35,1
I am not happy with my ZENDBiz Connect 100 service.,Complaint,Satisfied,USA,Business Connectivity,ZENDBiz Connect 100,Enterprise,Standard,378.62,4
Complaint regarding ZENDStorage 10TB.,Complaint,Satisfied,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Enterprise,196.22,4
How do I stop ZENDBiz Connect 1G service?,Cancellation,Satisfied,Thailand,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Standard,97.94,4
My billing amount for ZENDEnterprise Ultra seems incorrect.,Billing,Angry,USA,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Standard,406.38,1
Please terminate my Prepaid Unlimited plan.,Cancellation,Satisfied,USA,Mobile Connectivity,Prepaid Unlimited,Enterprise,Priority,102.02,4
How do I claim a refund if I used less than 10% of ZENDArchive Storage?,Refund,Angry,Singapore,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Standard,149.76,1
What are the costs to move from Prepaid Basic 5GB to premium?,Plan Upgrade,Neutral,USA,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Standard,78.0,3
How do I stop Postpaid Silver 50GB service?,Cancellation,Satisfied,Thailand,Mobile Connectivity,Postpaid Silver 50GB,Individual,Priority,80.89,4
I was charged $X instead of $Y for ZENDFiber Home 300 Mbps.,Billing,Neutral,Singapore,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Enterprise,163.4,3
I am not happy with my ZENDCloud VM Enterprise service.,Complaint,Happy,India,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,127.17,5
Need help fixing my ZENDSmart Lighting service.,Technical Support,Happy,Singapore,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Priority,190.63,5
I want a refund for Postpaid Silver 50GB subscription.,Refund,Angry,India,Mobile Connectivity,Postpaid Silver 50GB,Individual,Standard,85.99,1
Can I upgrade from ZENDFleet IoT to a higher plan?,Plan Upgrade,Neutral,Thailand,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Enterprise,272.43,3
How do I claim a refund if I used less than 10% of ZENDCloud VM Enterprise?,Refund,Happy,India,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,46.91,5
What features does ZENDOffice Net 1G offer?,Information Query,Angry,Singapore,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Enterprise,83.29,1
Frustrated with ZENDSmart Lighting connection.,Complaint,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,337.14,1
